Pretest Fail case 0x13,Too much Bad block!

 CH   0    1    2    3 

CE0  011  017  013  019  
CE1  025  033  013  2051  
CE2  074  045  040  026  
CE3  024  017  026  029  
CE4  000  000  000  000  
CE5  000  000  000  000  
CE6  000  000  000  000  
CE7  000  000  000  000  
