Pretest Fail case 0x13,Too much Bad block!

 CH   0    1    2    3 

CE0  036  050  026  2070  
CE1  098  062  066  055  
CE2  000  000  000  000  
CE3  000  000  000  000  
CE4  000  000  000  000  
CE5  000  000  000  000  
CE6  000  000  000  000  
CE7  000  000  000  000  
